"","AQIM_CARGO_ID","CARGO_FORM","CALENDAR_YR","CARGO_CATG","ORIGIN","CITY","STATE","QUANTITY","UNIT","INSP_QUANTITY","INSP_UNIT","INSP_METHOD","AG_RISK_FL","INTENDED_USE","COMMODITY_LIST","LOCATION","PORT_CD","ENTRY_NUM","CARGO_COMMODITY_ID","AQIM_COMMODITY","QUANTITY.y","UNIT.y","FND_IN_CARGO","PROHIBITED_FL","TREATMENT_FL","SMUGGLED_FL","PEST_FL","PEST_DATA","CONTAMNT_FL","CONTAMINENT","CREATE_DT","kstar","QUANTITY_INSP_UNITS","HYPER_SAMP_SIZE"
"792","15283AC","Air Cargo",2013,"Perishable","CRI","HOUSTON","TX",14,"Box/Carton",13,"Box/Carton","Hypergeometric Sample","N","","Alpinia sp., CF","TX Houston Air CBP",5309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,13
"793","15284AC","Air Cargo",2013,"Perishable","NLD","ARLINGTON","TX",21,"Box/Carton",16,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,16
"794","15292AC","Air Cargo",2013,"Perishable","NLD","BOSTON","MA",42,"Box/Carton",21,"Box/Carton","Hypergeometric Sample","N","","Iris sp., CF","MA Boston CBP",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42,21
"795","15293AC","Air Cargo",2013,"Perishable","NLD","BOSTON","MA",150,"Box/Carton",26,"Box/Carton","Hypergeometric Sample","N","","Hyacinthus sp., CF","MA Boston CBP",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,150,26
"796","15295AC","Air Cargo",2013,"Perishable","NLD","CARLISLE","PA",140,"Box/Carton",26,"Box/Carton","Hypergeometric Sample","N","","Narcissus sp., CF","VA Dulles CBP IAB",5401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,140,26
"797","15298AC","Air Cargo",2013,"Perishable","CRI","HOUSTON","TX",14,"Box/Carton",13,"Box/Carton","Hypergeometric Sample","N","","Alpinia sp., CF","TX Houston Air CBP",5309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,13
"798","15301AC","Air Cargo",2013,"Perishable","NLD","CARLISLE","PA",340,"Box/Carton",28,"Box/Carton","Hypergeometric Sample","N","","Narcissus sp., CF","VA Dulles CBP IAB",5401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,340,28
"799","15304AC","Air Cargo",2013,"Perishable","CRI","HOUSTON","TX",14,"Box/Carton",13,"Box/Carton","Hypergeometric Sample","N","","Alpinia sp., CF","TX Houston Air CBP",5309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,13
"800","15317AC","Air Cargo",2013,"Perishable","THA","KATY","TX",9,"Box/Carton",9,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","TX Houston Air CBP",5309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,9
"801","15320AC","Air Cargo",2013,"Perishable","CRI","HOUSTON","TX",14,"Box/Carton",13,"Box/Carton","Hypergeometric Sample","N","","Alpinia sp., CF","TX Houston Air CBP",5309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,13
"802","15321AC","Air Cargo",2013,"Perishable","THA","HONOLULU","HI",12,"Box/Carton",11,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,11
"803","15328AC","Air Cargo",2013,"Perishable","THA","HONOLULU","HI",9,"Box/Carton",9,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,9
"804","15345AC","Air Cargo",2013,"Perishable","NLD","MINNEAPOLIS","MN",85,"Box/Carton",25,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,85,25
"805","15347AC","Air Cargo",2013,"Perishable","NLD","MINNEAPOLIS","MN",8,"Box/Carton",8,"Box/Carton","Hypergeometric Sample","N","","Freesia sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8
"806","15348AC","Air Cargo",2013,"Perishable","NLD","ELK GROVE VILLAGE","IL",18,"Box/Carton",15,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,15
"807","15349AC","Air Cargo",2013,"Perishable","ISR","ASTORIA","NY",8,"Box/Carton",8,"Box/Carton","Hypergeometric Sample","N","","Eustoma sp., CF","NY JFK Air Cargo CBP",4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8
"808","15353AC","Air Cargo",2013,"Perishable","NLD","MILLVILLE","NJ",25,"Box/Carton",17,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","NY JFK Air Cargo CBP",4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,17
"809","15357AC","Air Cargo",2013,"Perishable","THA","GRAND PRAIRIE","TX",16,"Box/Carton",14,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,14
"810","15359AC","Air Cargo",2013,"Perishable","THA","OAKLAND","CA",39,"Box/Carton",21,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","CA San Francisco CBP",2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39,21
"811","15363AC","Air Cargo",2013,"Perishable","THA","ELMSFORD","NY",23,"Box/Carton",17,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","NY JFK Air Cargo CBP",4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23,17
"812","15364AC","Air Cargo",2013,"Perishable","ISR","JAMAICA","NY",150,"Box/Carton",26,"Box/Carton","Hypergeometric Sample","N","","Ranunculus sp., CF","NY JFK Air Cargo CBP",4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,150,26
