LOCATION,PATHWAY,ORIGIN,CALENDAR_YR,QUANTITY,QUANTITY_UNIT,ITEMS_PER_PACKAGE,COMMODITY
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Singapore,2023,3650,Items,183,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,3675,Items,217,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,4032,Items,288,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Thailand,2023,4040,Items,289,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,4140,Items,276,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,4320,Items,309,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,4365,Items,219,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,South Africa,2023,4489,Items,321,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,4536,Items,227,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,4537,Items,325,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Uganda,2023,4800,Items,253,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,4800,Items,343,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,4975,Items,356,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,5000,Items,358,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,5000,Items,250,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,5250,Items,375,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Germany,2023,5329,Items,381,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,South Africa,2023,5480,Items,323,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Uganda,2023,5500,Items,290,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,South Africa,2023,5600,Items,330,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,5933,Items,424,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,6080,Items,435,none
