,name,consignment name,items per box,contamination unit,contamination parameters,contaminant arrangement,cluster distribution,contaminated units per cluster,cluster width,avg contamination rate,avg missed contamination rate,avg intercepted contamination rate,avg boxes opened per inspection,pct box opened per simulation,avg items inspected per inspection,pct items inspected per simulation,missed contaminants,intercepted contaminants,interception rate,contaminated_consignments,% missed contaminants
0,consignment scenario 4,Low,200,item,"[0.0727, 26.8544]",clustered,random,40.0,40.0,0.0027,0.0016,0.0112,18,6,3702,6,71256,464920,0.6487,1145,13.2898
1,consignment scenario 5,Mid,200,item,"[0.0081, 2.9838]",clustered,random,40.0,40.0,0.0027,0.0015,0.057,18,6,3702,6,9747,498269,0.7198,213,1.9186
2,consignment scenario 6,High,200,item,"[0.0029, 1.0742]",clustered,random,40.0,40.0,0.0027,0.0014,0.1314,18,6,3702,6,3178,475587,0.7593,91,0.6638
3,consignment scenario 7,Low,200,box,"[0.0727, 26.8544]",random,,,,0.0027,0.0041,0.0106,18,6,3702,6,247412,313090,0.5665,1152,44.1411
4,consignment scenario 8,Mid,200,box,"[0.0081, 2.9838]",random,,,,0.0028,0.0055,0.0632,18,6,3702,6,49963,491724,0.6411,214,9.2237
5,consignment scenario 9,High,200,box,"[0.0029, 1.0742]",random,,,,0.0026,0.0056,0.1346,18,6,3702,6,21349,523928,0.6858,92,3.9154
